Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Riverdale,2017–,TV-14,26 Jan 2017,45 min,N/A,6.6,series,na
Schitt's Creek,2015–2020,TV-14,11 Feb 2015,22 min,N/A,8.5,series,na
Inside Look: The Assassination of Gianni Versace - American Crime Story,2017–2018,TV-MA,26 Dec 2017,3 min,N/A,7.7,series,na
The Judgement,2021,N/A,02 Sep 2021,130 min,N/A,7.5,movie,N/A
The Last Dance,2020,TV-MA,19 Apr 2020,491 min,N/A,9.1,series,na
They've Gotta Have Us,2018,TV-14,05 Feb 2020,59 min,N/A,7.8,series,na
Why Are You Like This?,2018–,N/A,27 Nov 2018,N/A,N/A,6.5,series,na
A Family,2017,N/A,28 Sep 2017,97 min,31,5.4,movie,N/A
Elite,2018–,TV-MA,05 Oct 2018,60 min,N/A,7.4,series,na
Fatherhood,2021,PG-13,18 Jun 2021,2 min,53,6.6,movie,N/A
Hospital Playlist,2020–2021,TV-14,12 Mar 2020,30S min,N/A,8.8,series,na
Jagame Thandhiram,2021,TV-MA,18 Jun 2021,2 min,N/A,5.8,movie,N/A
Kambili: The Whole 30 Yards,2020,N/A,16 Oct 2020,119 min,N/A,5.6,movie,N/A
Mobile Suit Gundam I,1981,TV-PG,14 Mar 1981,137 min,N/A,7.1,movie,N/A
So Not Worth It,2021–,TV-14,18 Jun 2021,31S min,N/A,7.0,series,na
The Rational Life,2021–,N/A,18 Jun 2021,45 min,N/A,8.1,series,na
Ali,2001,R,25 Dec 2001,157 min,65,6.7,movie,"$58,203,105"
Aziza,2019,N/A,16 Jun 2021,13 min,N/A,7.2,movie,N/A
Besieged Bread,2016,N/A,17 Mar 2016,15 min,N/A,N/A,movie,N/A
Black Summer,2019–,TV-MA,11 Apr 2019,1 min,N/A,6.5,series,na
Elite Short Stories: Carla Samuel,2021,TV-MA,17 Jun 2021,N/A,N/A,6.9,series,na
Fan Girl,2015,PG-13,03 Oct 2015,100 min,N/A,4.6,movie,N/A
Katla,2021–,TV-MA,17 Jun 2021,N/A,N/A,7.0,series,na
Record of Ragnarok,2021–,TV-14,17 Jun 2021,24 min,N/A,6.2,series,na
Red Snow,2021,N/A,06 Dec 2021,80 min,43,4.9,movie,N/A
Silver Linings Playbook,2012,R,25 Dec 2012,122 min,81,7.7,movie,"$132,092,958"
The Gift,2015,R,07 Aug 2015,1 min,77,7.0,movie,"$43,787,265"
Biking Borders,2021,N/A,19 Feb 2021,90 min,N/A,7.7,movie,N/A
Elite Short Stories: Omar Ander Alexis,2021,TV-MA,16 Jun 2021,N/A,N/A,7.3,series,na
Let's Eat,2013–,N/A,28 Nov 2013,50 min,N/A,7.7,series,na
Lowriders,2016,PG-13,28 Apr 2017,98 min,57,5.6,movie,"$6,303,560"
Millennials,2018–,N/A,26 Nov 2018,60 min,N/A,4.4,series,na
Penguin Town,2021–,TV-PG,16 Jun 2021,N/A,N/A,7.9,series,na
Security,2017,R,04 Mar 2017,1 min,N/A,5.7,movie,N/A
Silver Skates,2020,TV-MA,10 Dec 2020,2 min,N/A,7.1,movie,N/A
Lego Marvel Avengers: Climate Conundrum,2020,N/A,01 Nov 2020,30 min,N/A,6.5,series,na
Beyond Evil,2021–,N/A,15 Jun 2021,70 min,N/A,8.1,series,na
Elite Short Stories: Nadia Guzmán,2021,TV-MA,15 Jun 2021,N/A,N/A,6.3,series,na
FTA,1972,R,22 Nov 1972,103 min,75,6.2,movie,N/A
Headspace: Unwind Your Mind,2021,TV-G,15 Jun 2021,15 min,N/A,7.2,movie,N/A
Life of Crime,2013,R,29 Aug 2014,98 min,60,5.8,movie,"$265,452"
Power Rangers Dino Fury,2021–,TV-Y7,20 Feb 2021,38S min,N/A,6.8,series,na
Rhyme Time Town,2020–,TV-Y,19 Jun 2020,N/A,N/A,7.6,series,na
Rogue Warfare: Death of a Nation,2020,R,25 Sep 2020,95 min,N/A,3.3,movie,N/A
Sir! No Sir!,2005,Not Rated,24 Sep 2009,85 min,74,7.6,movie,"$116,944"
The American Bible Challenge,2012–,TV-G,23 Aug 2012,60 min,N/A,6.6,series,na
The Reason I Jump,2020,N/A,08 Jan 2021,82 min,83,7.4,movie,N/A
Elite Short Stories: Guzmán Caye Rebe,2021,TV-MA,14 Jun 2021,N/A,N/A,7.4,series,na
Metallica: Some Kind of Monster,2004,Not Rated,01 Sep 2004,84 min,74,7.5,movie,"$1,222,708"
Picture a Scientist,2020,N/A,12 Jun 2020,103 min,N/A,7.8,movie,N/A
The Devil Below,2021,N/A,05 Mar 2021,88 min,N/A,4.2,movie,N/A
Lego Friends: The Power of Friendship,2016,TV-G,04 Mar 2016,23 min,N/A,6.9,series,na
Lupin,2021–,TV-MA,08 Jan 2021,231 min,N/A,7.5,series,na
Sarbath,2021,N/A,11 Jun 2021,112 min,N/A,5.6,movie,N/A
Skater Girl,2021,PG,11 Jun 2021,107 min,N/A,6.6,movie,N/A
Trese,2021–,TV-MA,11 Jun 2021,2 min,N/A,7.0,series,na
Trese After Dark,2021,N/A,11 Jun 2021,35 min,N/A,N/A,movie,N/A
Wish Dragon,2021,PG,11 Jun 2021,98 min,59,7.2,movie,N/A
A Haunted House 2,2014,R,18 Apr 2014,86 min,17,4.6,movie,"$17,329,486"
Blind Intersections,2012,N/A,21 Feb 2013,90 min,N/A,6.6,movie,N/A
Camellia Sisters,2021,N/A,12 Feb 2021,115 min,N/A,6.8,movie,N/A
Copenhagen,2014,Not Rated,03 Oct 2014,98 min,71,7.0,movie,N/A
Locombianos,2021–,TV-MA,10 Jun 2021,2 min,N/A,N/A,series,na
Until Midnight,2018,N/A,21 Jun 2018,78 min,N/A,6.9,movie,N/A
Awake,2007,R,30 Nov 2007,2 min,33,6.5,movie,"$14,377,198"
Confusion Na Wa,2013,Not Rated,08 Jun 2021,105 min,N/A,7.0,movie,N/A
"Fresh, Fried and Crispy",2021–,TV-PG,09 Jun 2021,1 min,N/A,6.2,series,na
Tragic Jungle,2020,TV-MA,09 Jun 2021,1 min,70,5.6,movie,N/A
Guru Aur Bhole,2017–,N/A,N/A,N/A,N/A,4.6,series,na
Vampire Academy,2014,PG-13,07 Feb 2014,2 min,31,5.4,movie,"$7,791,979"
A Private War,2018,R,16 Nov 2018,110 min,75,6.7,movie,"$1,633,208"
Kitty Love: An Homage to Cats,2020,TV-PG,05 Jun 2021,60 min,N/A,5.1,movie,N/A
Small Chops,2020,N/A,31 Jan 2020,98 min,N/A,3.1,movie,N/A
Breaking Boundaries: The Science of Our Planet,2021,TV-PG,04 Jun 2021,73 min,N/A,7.8,movie,N/A
Feel Good,2020–2021,TV-MA,19 Mar 2020,1 min,N/A,7.5,series,na
Human: The World Within,2021–,TV-PG,05 May 2021,N/A,N/A,6.8,series,na
Sweet Home Alabama,2002,PG-13,27 Sep 2002,108 min,45,6.2,movie,"$127,223,418"
Sweet Tooth,2021–,TV-14,04 Jun 2021,N/A,N/A,7.8,series,na
Trippin' with the Kandasamys,2021,TV-14,04 Jun 2021,1 min,N/A,5.0,movie,N/A
Xtreme,2021,TV-MA,04 Jun 2021,111 min,N/A,5.8,movie,N/A
Alan Saldaña: Locked Up,2021,N/A,03 Jun 2021,49 min,N/A,N/A,movie,N/A
Creator's File: Gold,2021–,N/A,03 Jun 2021,N/A,N/A,N/A,series,na
Dancing Queens,2021,TV-MA,03 Jun 2021,110 min,N/A,5.6,movie,N/A
From Stress to Happiness,2020,N/A,15 Dec 2020,60 min,N/A,6.3,movie,N/A
Myriam Fares: The Journey,2021,N/A,03 Jun 2021,71 min,N/A,2.2,movie,N/A
Summertime,1955,Approved,07 Nov 1955,2 min,N/A,7.1,movie,N/A
The Girl and the Gun,1912,N/A,08 Aug 1912,N/A,N/A,N/A,movie,N/A
2 Hearts,2020,PG-13,16 Oct 2020,2 min,29,6.2,movie,"$1,349,286"
A Perfect Ending,2012,Not Rated,21 Jun 2013,3 min,N/A,5.5,movie,N/A
American Outlaws,2001,PG-13,17 Aug 2001,94 min,25,5.9,movie,"$13,342,790"
And Then Came Lola,2009,Not Rated,19 Jun 2009,71 min,N/A,3.9,movie,N/A
Attack on Titan,2013–2023,TV-MA,28 Sep 2013,24 min,N/A,9.0,series,na
Battlefield Earth,2000,PG-13,12 May 2000,118 min,9,2.5,movie,"$21,471,685"
Ben,1972,PG,23 Jun 1972,1 min,N/A,5.3,movie,"$769,986"
Bliss,2021,R,05 Feb 2021,103 min,40,5.3,movie,N/A
Carnaval,2021,TV-MA,02 Jun 2021,1 min,N/A,4.0,movie,N/A
Cloudburst,2011,Unrated,16 Sep 2011,93 min,N/A,7.2,movie,N/A
Cocomelon,2018–2022,TV-PG,01 Jun 2020,N/A,N/A,4.7,series,na
Company of Heroes,2013,R,26 Feb 2013,100 min,N/A,5.1,movie,N/A
Cradle 2 the Grave,2003,R,28 Feb 2003,2 min,36,5.8,movie,"$34,712,347"
Domestic Disturbance,2001,PG-13,02 Nov 2001,89 min,29,5.6,movie,"$45,246,095"
Downton Abbey,2010–2015,TV-PG,09 Jan 2011,58 min,N/A,8.7,series,na
Dream/Killer,2015,Not Rated,04 May 2015,106 min,N/A,7.4,movie,N/A
Felon,2008,R,18 Jul 2008,104 min,58,7.4,movie,N/A
Flipped,2010,PG,10 Sep 2010,90 min,45,7.7,movie,"$1,755,212"
Fools Rush In,1997,PG-13,14 Feb 1997,31S min,37,6.1,movie,"$29,481,428"
Gold Statue,2019,N/A,N/A,145 min,N/A,6.2,movie,N/A
Happy Endings,2011–2020,TV-14,13 Apr 2011,22 min,N/A,7.8,series,na
Hostel: Part III,2011,R,27 Dec 2011,88 min,N/A,4.6,movie,N/A
I Am Sam,2001,PG-13,25 Jan 2002,132 min,28,7.6,movie,"$40,311,852"
Love Jones,1997,R,14 Mar 1997,109 min,65,7.3,movie,"$12,479,335"
Million Dollar Baby,2004,PG-13,28 Jan 2005,132 min,86,8.1,movie,"$100,492,203"
Mosquita y Mari,2012,Not Rated,14 May 2013,85 min,66,6.3,movie,"$9,000"
Never Back Down 2: The Beatdown,2011,R,08 Apr 2011,99 min,N/A,5.7,movie,N/A
Ninja Assassin,2009,R,25 Nov 2009,99 min,34,6.3,movie,"$38,122,883"
Ouran High School Host Club,2006,TV-14,04 Apr 2006,1 min,N/A,8.2,series,na
Population 436,2006,R,05 Sep 2006,92 min,N/A,5.7,movie,N/A
Racket Boys,2021–,TV-14,31 May 2021,N/A,N/A,4.0,series,na
Seven Souls in the Skull Castle: Season Moon Jogen,2021,N/A,01 Jun 2021,212 min,N/A,N/A,movie,N/A
Seven Souls in the Skull Castle: Season Moon Kagen,2021,N/A,01 Jun 2021,212 min,N/A,N/A,movie,N/A
Sniper: Legacy,2014,R,23 Feb 2015,95 min,N/A,5.3,movie,N/A
Starsky & Hutch,2004,PG-13,05 Mar 2004,101 min,55,6.1,movie,"$88,237,754"
Streets of Fire,1984,PG,01 Jun 1984,93 min,59,6.7,movie,"$8,089,290"
Super Monsters: Once Upon a Rhyme,2021,N/A,01 Jun 2021,25 min,N/A,5.8,movie,N/A
Swordfish,2001,R,08 Jun 2001,99 min,32,6.5,movie,"$69,772,969"
The Four Seasons,1981,PG,22 May 1981,107 min,55,6.8,movie,"$50,427,646"
The Girl King,2015,Not Rated,08 Dec 2015,106 min,37,5.8,movie,N/A
The Interpreter,2005,PG-13,22 Apr 2005,128 min,62,6.4,movie,"$72,708,161"
The Meddler,2015,PG-13,03 Jun 2016,103 min,68,6.3,movie,"$4,267,218"
The Mirror Has Two Faces,1996,PG-13,15 Nov 1996,2 min,N/A,6.6,movie,"$41,083,864"
The Outlaw Josey Wales,1976,PG,30 Jun 1976,2 min,69,7.8,movie,"$31,800,000"
The Platform,2019,TV-MA,20 Mar 2020,94 min,73,7.0,movie,N/A
The Wedding Guest,2018,R,08 Mar 2019,96 min,57,5.8,movie,"$386,166"
The Wind,2018,R,05 Apr 2019,88 min,66,5.6,movie,"$28,252"
Then Came You,2018,Not Rated,01 Feb 2019,2 min,44,6.9,movie,N/A
Welcome Home,2018,R,16 Nov 2018,1 min,38,5.2,movie,N/A
Dirty John,2018–,TV-14,25 Nov 2018,31S min,N/A,7.2,series,na
One Lagos Night,2021,N/A,15 Apr 2021,104 min,N/A,6.6,movie,N/A
Collateral Beauty,2016,PG-13,16 Dec 2016,97 min,23,6.7,movie,"$31,016,021"
The Kominsky Method,2018–2021,TV-MA,16 Nov 2018,2 min,N/A,8.2,series,na
Word of Honor,2021–,TV-14,28 May 2021,N/A,N/A,8.6,series,na
Black Space,2020–,TV-MA,27 May 2021,45 min,N/A,6.7,series,na
Blue Miracle,2021,TV-PG,27 May 2021,95 min,48,6.6,movie,N/A
Eden,2012,R,19 Jul 2013,2 min,63,6.6,movie,N/A
Ghost Lab,2021,TV-MA,26 May 2021,117 min,N/A,5.1,movie,N/A
Ragnarok,2020–,TV-MA,31 Jan 2020,29S min,N/A,7.5,series,na
Soy Rada: Serendipity,2021,TV-MA,27 May 2021,68 min,N/A,N/A,movie,N/A
The Day I Lost My Shadow,2018,N/A,28 Sep 2019,94 min,N/A,5.9,movie,N/A
Baggio: The Divine Ponytail,2021,TV-MA,26 May 2021,1 min,N/A,6.1,movie,N/A
Gatao: The Last Stray,2021,N/A,05 Feb 2021,121 min,N/A,N/A,movie,N/A
High on the Hog: How African American Cuisine Transformed America,2021–2022,TV-14,26 May 2021,N/A,N/A,7.7,series,na
JoJo's Bizarre Adventure,2012–,TV-14,04 Oct 2012,30 min,N/A,8.4,series,na
Nail Bomber: Manhunt,2021,TV-MA,26 May 2021,1 min,N/A,6.3,movie,N/A
A Place in the Stars,2014,N/A,14 Nov 2014,112 min,N/A,6.2,movie,N/A
Home,2015,PG,27 Mar 2015,94 min,55,6.6,movie,"$177,397,510"
Mad for Each Other,2021–,N/A,24 May 2021,N/A,N/A,7.9,series,na
Master of None,2015–,TV-MA,06 Nov 2015,1 min,N/A,8.2,series,na
99 Songs,2019,N/A,16 Apr 2021,1 min,N/A,6.6,movie,N/A
Army of the Dead,2021,R,21 May 2021,148 min,57,5.7,movie,N/A
Jurassic World: Camp Cretaceous,2020–2022,TV-PG,18 Sep 2020,1 min,N/A,7.5,series,na
Strain,2012,N/A,N/A,11 min,N/A,7.1,movie,N/A
The Neighbor,2016,Not Rated,16 Sep 2016,1 min,N/A,5.8,movie,N/A
678,2009–2015,N/A,06 Apr 2009,N/A,N/A,N/A,series,na
Asmaa,2011,N/A,07 Dec 2011,96 min,N/A,8.1,movie,N/A
Hating Peter Tatchell,2021,N/A,19 May 2021,91 min,N/A,7.6,movie,N/A
Special,2019–2021,TV-MA,12 Apr 2019,2 min,N/A,7.6,series,na
Sabotage,2014,R,28 Mar 2014,109 min,41,5.7,movie,"$10,508,518"
Small Town Crime,2017,R,19 Jan 2018,91 min,68,6.6,movie,N/A
The Last Days,2013,Unrated,27 Mar 2013,100 min,N/A,6.1,movie,N/A
The Magic School Bus,1994–1997,TV-Y,10 Sep 1994,1 min,N/A,7.8,series,na
Who Killed Sara?,2021–2022,TV-MA,24 Mar 2021,N/A,N/A,6.4,series,na
Amy Tan: Unintended Memoir,2021,N/A,03 May 2021,101 min,N/A,7.7,movie,N/A
Sardar Ka Grandson,2021,TV-14,18 May 2021,139 min,N/A,4.2,movie,N/A
Sleight,2016,R,28 Apr 2017,2 min,62,5.9,movie,"$3,986,245"
Ahaan,2019,N/A,14 May 2021,81 min,N/A,7.0,movie,N/A
Booba: Food Puzzle,2020–,N/A,06 May 2020,N/A,N/A,7.9,series,na
Love or Money,1990,PG-13,05 Jan 1990,90 min,N/A,4.5,movie,"$44,445"
Alma Matters - Inside the IIT Dream,2021,N/A,14 May 2021,3 min,N/A,8.3,series,na
Cinema Bandi,2021,N/A,14 May 2021,2 min,N/A,7.9,movie,N/A
Ferry,2021,TV-MA,14 May 2021,106 min,N/A,7.0,movie,N/A
Halston,2021,TV-MA,14 May 2021,N/A,N/A,7.5,series,na
Haunted,1995,R,18 Jun 1996,1 min,N/A,6.2,movie,N/A
I Am All Girls,2021,TV-MA,14 May 2021,107 min,N/A,5.9,movie,N/A
Jungle Beat: The Movie,2020,G,26 Jun 2020,88 min,N/A,5.4,movie,N/A
"Love, Death & Robots",2019–,TV-MA,15 Mar 2019,15 min,N/A,8.4,series,na
Move to Heaven,2021–,TV-MA,14 May 2021,N/A,N/A,8.6,series,na
Table Manners,2018,N/A,28 Sep 2018,105 min,N/A,5.1,movie,N/A
The Mystic River,2021–,N/A,14 May 2021,N/A,N/A,5.8,series,na
The Strange House,2015,N/A,24 Jul 2015,87 min,N/A,4.5,movie,N/A
The Woman in the Window,2021,R,14 May 2021,100 min,41,5.7,movie,N/A
Castlevania,2017–2021,TV-MA,07 Jul 2017,23 min,N/A,8.3,series,na
Layer Cake,2004,R,03 Jun 2005,1 min,73,7.3,movie,"$2,339,957"
Tottaa Pataaka Item Maal,2019,N/A,27 Jun 2019,107 min,N/A,7.5,movie,N/A
Oxygen,2021,TV-14,12 May 2021,2 min,67,6.5,movie,N/A
The Upshaws,2021–,TV-14,12 May 2021,N/A,N/A,6.8,series,na
Use for My Talent,2021–,N/A,09 May 2021,N/A,N/A,7.4,series,na
Dear Affy,2020,N/A,14 Feb 2020,126 min,N/A,N/A,movie,N/A
Illegal Woman,2020,TV-MA,10 May 2021,1 min,N/A,6.1,movie,N/A
"Money, Explained",2021,TV-14,11 May 2021,N/A,N/A,6.9,series,na
Deadly Switch,2019,N/A,15 Jan 2019,87 min,N/A,4.5,movie,N/A
Mine,2016,Not Rated,07 Apr 2017,106 min,40,5.8,movie,N/A
Nayattu,2021,N/A,08 Apr 2021,2 min,N/A,8.1,movie,N/A
Sleepless,2017,R,13 Jan 2017,95 min,34,5.6,movie,"$20,783,704"
Super Me,2019,N/A,09 Apr 2021,1 min,N/A,5.8,movie,N/A
In Our Mothers' Gardens,2021,N/A,06 May 2021,N/A,N/A,8.5,movie,N/A
Jupiter's Legacy,2021,TV-MA,07 May 2021,N/A,N/A,6.7,series,na
Milestone,2020,TV-14,07 May 2021,98 min,N/A,6.6,movie,N/A
Monster,2003,R,30 Jan 2004,109 min,74,7.3,movie,"$34,469,210"
Sab Jholmaal Hai,2017–,TV-G,N/A,N/A,N/A,6.6,series,na
Time to Dance,2021,N/A,12 Mar 2021,113 min,N/A,2.2,movie,N/A
Unrest,2006,R,24 Oct 2007,88 min,N/A,5.0,movie,"$321,875"
And Tomorrow the Entire World,2020,TV-MA,06 May 2021,111 min,77,6.0,movie,N/A
Dead Man Down,2013,R,08 Mar 2013,118 min,39,6.4,movie,"$10,895,295"
Framing John DeLorean,2019,Unrated,07 Jun 2019,109 min,67,6.5,movie,"$145,625"
Lava Ka Dhaava,2021–,N/A,05 May 2021,N/A,N/A,6.1,series,na
The Sons of Sam: A Descent into Darkness,2021,TV-MA,05 May 2021,239 min,N/A,7.0,series,na
Selena: The Series,2020–2021,TV-PG,04 Dec 2020,1 min,N/A,6.9,series,na
StartUp,2016–2018,Not Rated,06 Sep 2016,44 min,N/A,7.8,series,na
The Clovehitch Killer,2018,Unrated,16 Nov 2018,109 min,59,6.5,movie,"$8,208"
Trash Truck,2020–,TV-Y,10 Nov 2020,N/A,N/A,8.5,series,na
Aliens Stole My Body,2020,PG,07 Dec 2020,31S min,N/A,3.4,movie,N/A
Angelina Ballerina,2001–2009,TV-Y,04 May 2002,N/A,N/A,5.6,series,na
Best of the Best,1989,PG-13,10 Nov 1989,97 min,26,6.4,movie,"$1,700,000"
Dead Again in Tombstone,2017,R,12 Sep 2017,100 min,N/A,4.4,movie,N/A
Due Date,2010,R,05 Nov 2010,95 min,51,6.5,movie,"$100,539,043"
Fun with Dick and Jane,2005,PG-13,21 Dec 2005,90 min,47,6.1,movie,"$110,332,737"
Green Zone,2010,R,12 Mar 2010,2 min,63,6.8,movie,"$35,053,660"
Hachi: A Dog's Tale,2009,G,12 Mar 2010,93 min,N/A,8.1,movie,N/A
JT LeRoy,2018,R,26 Apr 2019,108 min,55,5.4,movie,N/A
Madagascar 3: Europe's Most Wanted,2012,PG,08 Jun 2012,93 min,60,6.8,movie,"$216,391,482"
Motu Patlu in Wonderland,2013,N/A,07 Jul 2013,N/A,N/A,N/A,movie,N/A
Motu Patlu: Mission Moon,2018,N/A,09 Apr 2018,N/A,N/A,N/A,movie,N/A
Mystic River,2003,R,15 Oct 2003,138 min,84,7.9,movie,"$90,135,191"
Never Back Down,2008,PG-13,14 Mar 2008,113 min,39,6.5,movie,"$24,850,922"
Sitting in Limbo,2020,N/A,08 Jun 2020,89 min,N/A,7.2,movie,N/A
Stargate,1994,PG-13,28 Oct 1994,116 min,42,7.0,movie,"$71,567,262"
State of Play,2009,PG-13,17 Apr 2009,127 min,64,7.1,movie,"$37,017,955"
Swiped,2018,TV-14,06 Nov 2018,93 min,N/A,3.1,movie,N/A
The Darkest Hour,2011,PG-13,25 Dec 2011,1 min,18,4.9,movie,"$21,443,494"
The Lovely Bones,2009,PG-13,15 Jan 2010,135 min,42,6.6,movie,"$44,114,232"
The Sweetest Thing,2002,R,12 Apr 2002,84 min,32,5.1,movie,"$24,718,164"
The Whole Nine Yards,2000,R,18 Feb 2000,98 min,47,6.7,movie,"$57,262,492"
The Whole Truth,2016,R,21 Oct 2016,93 min,46,6.2,movie,N/A
Under Siege,1992,R,09 Oct 1992,103 min,58,6.5,movie,"$83,563,139"
Zack and Miri Make a Porno,2008,R,31 Oct 2008,101 min,56,6.5,movie,"$31,457,946"
Pet Stars,2021–,TV-PG,30 Apr 2021,N/A,N/A,5.0,series,na
Seven Samurai,1954,Not Rated,19 Nov 1956,207 min,98,8.6,movie,"$318,649"
The Disciple,2020,TV-MA,30 Apr 2021,129 min,83,7.1,movie,N/A
The Innocent,2021,TV-MA,30 Apr 2021,467 min,N/A,7.8,series,na
The Mitchells vs the Machines,2021,PG,30 Apr 2021,2 min,81,7.6,movie,N/A
The Strangers: Prey at Night,2018,R,09 Mar 2018,85 min,48,5.2,movie,"$24,586,708"
The Unremarkable Juanquini,2020–,TV-MA,15 May 2020,1 min,N/A,4.4,series,na
Things Heard & Seen,2021,TV-MA,29 Apr 2021,121 min,49,5.3,movie,N/A
Yasuke,2021–,TV-MA,29 Apr 2021,2 min,N/A,6.2,series,na
Get the Grift,2021,TV-14,28 Apr 2021,94 min,N/A,5.3,movie,N/A
Headspace Guide to Sleep,2021,TV-G,28 Apr 2021,N/A,N/A,6.8,series,na
Sexify,2021–,TV-MA,28 Apr 2021,40 min,N/A,6.5,series,na
August: Osage County,2013,R,10 Jan 2014,2 min,58,7.2,movie,"$37,738,810"
Battle Los Angeles,2011,PG-13,11 Mar 2011,116 min,37,5.7,movie,"$83,552,429"
Between Worlds,2018,R,21 Dec 2018,1 min,24,4.0,movie,N/A
Fatma,2021–,TV-MA,27 Apr 2021,N/A,N/A,7.4,series,na
One Flew Over the Cuckoo's Nest,1975,R,19 Nov 1975,133 min,84,8.7,movie,"$108,981,275"
Dedemin Fisi,2016,N/A,10 Mar 2017,100 min,N/A,5.5,movie,N/A
Deliha,2014,N/A,14 Nov 2014,107 min,N/A,4.6,movie,N/A
Dügün Dernek,2013,N/A,06 Dec 2013,106 min,N/A,7.0,movie,N/A
Dügün Dernek 2: Sünnet,2015,N/A,04 Dec 2015,112 min,N/A,6.3,movie,N/A
Hayat Öpücügü,2015,N/A,09 Oct 2015,102 min,N/A,5.9,movie,N/A
Kara Bela,2015,N/A,18 Sep 2015,105 min,N/A,6.7,movie,N/A
Kocan Kadar Konus: Dirilis,2016,N/A,01 Jan 2016,108 min,N/A,5.7,movie,N/A
Let's Fight Ghost,2021–,N/A,03 Mar 2021,60 min,N/A,6.8,series,na
Niyazi Gül Dörtnala,2015,N/A,08 May 2015,106 min,N/A,4.5,movie,N/A
Perfume Imaginary Museum Time Warp,2020,N/A,21 Sep 2020,54 min,N/A,6.5,movie,N/A
Shadow and Bone,2021–,TV-14,23 Apr 2021,N/A,N/A,7.6,series,na
This Lady Called Life,2020,N/A,15 May 2020,120 min,N/A,6.8,movie,N/A
Vizontele,2001,N/A,02 Feb 2001,110 min,N/A,8.0,movie,N/A
Homunculus,2021,TV-MA,02 Apr 2021,115 min,N/A,5.5,movie,N/A
