Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
"Welcome Home, Roscoe Jenkins",2008,PG-13,08 Feb 2008,2 min,46,5.5,movie,"$42,436,517"
In the Line of Fire,1993,R,09 Jul 1993,31S min,74,7.2,movie,"$102,314,823"
Sparking Joy with Marie Kondo,2021–,TV-PG,31 Aug 2021,N/A,N/A,6.3,series,na
Hometown Cha-Cha-Cha,2021–,TV-14,28 Aug 2021,N/A,N/A,8.4,series,na
The Ingenuity of the Househusband,2021–,N/A,29 Aug 2021,N/A,N/A,6.7,series,na
2 Alone in Paris,2008,N/A,25 Jun 2008,94 min,N/A,5.4,movie,N/A
Bread Barbershop,2020–,TV-Y,15 Aug 2020,N/A,N/A,7.4,series,na
Thimmarusu: Assignment Vali,2021,N/A,30 Jul 2021,127 min,N/A,7.2,movie,N/A
Wind River,2017,R,18 Aug 2017,107 min,73,7.7,movie,"$33,800,859"
C Kkompany,2008,Not Rated,29 Aug 2008,127 min,N/A,5.5,movie,N/A
D.P.,2021–,TV-MA,27 Aug 2021,1 min,N/A,8.2,series,na
Deadly Sins,1995,R,17 Oct 1995,98 min,N/A,4.6,movie,N/A
EMI: Liya Hai To Chukana Padega,2008,N/A,07 Nov 2008,180 min,N/A,4.4,movie,N/A
He's All That,2021,TV-14,27 Aug 2021,2 min,36,4.3,movie,N/A
I Heart Arlo,2021–,TV-Y7,27 Aug 2021,11 min,N/A,7.2,series,na
King of Boys: The Return of the King,2021,TV-MA,27 Aug 2021,N/A,N/A,5.9,series,na
Koi Aap Sa: But Lovers Have to Be Friends,2005,N/A,14 Oct 2005,142 min,N/A,5.5,movie,N/A
Krishna Cottage,2004,Not Rated,02 Apr 2004,2 min,N/A,5.1,movie,N/A
Kucch To Hai,2003,Not Rated,24 Jan 2003,143 min,N/A,4.3,movie,N/A
Kyaa Kool Hai Hum,2005,Unrated,06 May 2005,3 min,N/A,6.1,movie,N/A
Kyaa Kool Hain Hum 3,2016,N/A,22 Jan 2016,124 min,N/A,1.9,movie,N/A
Kyaa Super Kool Hain Hum,2012,Not Rated,27 Jul 2012,136 min,N/A,5.0,movie,N/A
Kyo Kii... Main Jhuth Nahin Bolta,2001,Not Rated,21 Sep 2001,131 min,N/A,5.3,movie,N/A
"LSD: Love, Sex Aur Dhokha",2010,Not Rated,19 Mar 2010,155 min,N/A,7.2,movie,N/A
